"nombre","docente","lugar","marca","clase","cantidadValor","cantidadUnidad","fechaDeVencimiento","Gabinete","codigo","hDes"
"Giemsa solución (Azur - eosina con azul de metileno en sol)",,"BOD","Merck",3,2.5,"L",,"C","BOD-3-C-8","https://drive.google.com/file/d/1yQgctTSpI4zjM6oYuCqRQxkDp_4_xH4E/view?usp=drive_link"
"Giemsa solución (Azur - eosina con azul de metileno en sol)",,"BOD","Merck",3,1,"L",01/31/10,"C","BOD-3-C-9","https://drive.google.com/file/d/1yQgctTSpI4zjM6oYuCqRQxkDp_4_xH4E/view?usp=drive_link"
"eosina A 0.5%","Karina oyarce","BOD","Sigma Aldrich",3,1,"L",12/31/22,"C","BOD-3-C-10","https://drive.google.com/file/d/1N0ulr1XbOprtL2chTdq7JPwj26AvHAlE/view?usp=drive_link"
"2-Metilbutano","Felipe zuñiga","BOD"," Sigma Aldrich",3,500,"mL",,"C","BOD-3-C-11","https://drive.google.com/file/d/1nkfWnAa9t8V6P1yfhIxZqx6W4CEcO78c/view?usp=drive_link"
"DEAE-Celulosa",,"BOD","Sigma Aldrich",3,100,"g",,"C","BOD-3-C-12","https://drive.google.com/file/d/1ARkmLukimNThPGU2ckS0BJu81lea8YLH/view?usp=drive_link"
"Hematoxilina de Harris",,"BOD","Diprolab",3,1,"L",,"C","BOD-3-C-13","https://drive.google.com/file/d/1rzL638MXO-LpNvlblWrLmWfPlPOccB3-/view?usp=drive_link"
"Alcohol isopropilico","Enrique","BOD","winkler",3,1,"L",,"C","BOD-3-C-14","https://drive.google.com/file/d/1U11XMmYupTb9zsed2asgJNYCN4ydvaEW/view?usp=drive_link"
"Trietilamina",,"BOD","Merck",3,1,"L",,"C","BOD-3-C-15","https://drive.google.com/file/d/1A0O_DOuFEbS_0vEZ4e31Ue92BlH3FHe0/view?usp=drive_link"
"Entellan Nuevo",,"BOD","Merck",3,100,"mL",07/31/18,"C","BOD-3-C-16","https://drive.google.com/file/d/11dl_6Lit1y-JSgfJMIQdq8MPahfrGZGB/view?usp=drive_link"
"eosina azul de metileno ",,"BOD","merck",3,25,"g",,"C","BOD-3-C-17","https://drive.google.com/file/d/1Yt8h9QVrAQWj4Vr1A8g5mH0TbocnH3DG/view?usp=drive_link"
"2-propanol","Enrique Guzman","BOD","merck",3,2.5,"L",06/30/22,"C","BOD-3-C-18","https://drive.google.com/file/d/1YtjJJfSes_QEiXryyiuBuNoQ9IVEHYOg/view?usp=drive_link"
"Alcohol isopropilico","Enrique Guzman","BOD","winkler",3,1,"L",,"C","BOD-3-C-19","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Alcohol isopropilico","Enrique Guzman","BOD","winkler",3,1,"L",,"C","BOD-3-C-20","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Alcohol isopropilico","Enrique Guzman","BOD","winkler",3,1,"L",,"C","BOD-3-C-21","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Acetona","Enrique Guzman","BOD","winkler",3,1,"L",,"C","BOD-3-C-22","https://drive.google.com/file/d/1nf1_zl6QBT846iK8O0dKgI0VfvBRwZE7/view?usp=drive_link"
"Alcohol isopropilico","Enrique Guzman","BOD","Diprolab",3,1,"L",,"C","BOD-3-C-23","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"alcohol desnaturalizado",,"BOD","Difempharm",3,250,"mL",07/01/23,"C","BOD-3-C-24","https://drive.google.com/file/d/1Li4dfTuF2AqgktXfGsO73bG3nlpFvlPv/view?usp=drive_link"
"Balsamo de canada",,"BOD","Merck",3,100,"mL",,"C","BOD-3-C-25","https://drive.google.com/file/d/1OLCWi_y1sJdvjgMRku7MK-nsygLsjq0b/view?usp=drive_link"
"alcohol isoamilico",,"BOD","winkler",3,100,"mL",,"C","BOD-3-C-26","https://drive.google.com/file/d/1J5MSx5WjORHF7NTbKfSvHo9uNseq9UAo/view?usp=drive_link"
"Alcohol isopropílico",,"BOD","Winkler",3,1,"L",07/31/28,"C","BOD-3-C-27","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Alcohol isopropílico",,"BOD","Winkler",3,1,"L",07/31/28,"C","BOD-3-C-28","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Alcohol isopropílico",,"BOD","Winkler",3,2.5,"L",03/19/21,"C","BOD-3-C-29","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Alcohol isopropílico",,"BOD","Winkler",3,2.5,"L",03/19/21,"C","BOD-3-C-30","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Alcohol isopropílico",,"BOD","Droguería Diprolab",3,1,"L",12/01/21,"C","BOD-3-C-31","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Alcohol isopropílico",,"BOD","Droguería Diprolab",3,1,"L",12/01/21,"C","BOD-3-C-32","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Alcohol isopropílico",,"BOD","Droguería Diprolab",3,1,"L",12/01/21,"C","BOD-3-C-33","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Alcohol isopropílico",,"BOD","Droguería Diprolab",3,1,"L",12/01/21,"C","BOD-3-C-34","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Alcohol isopropílico",,"BOD","Droguería Diprolab",3,1,"L",12/01/21,"C","BOD-3-C-35","https://drive.google.com/file/d/1fXnavC1B5ijRnxlIdFKCOFqY-LXEpxGk/view?usp=drive_link"
"Acetona","Karina Oyarce","BOD","winkler",3,1,"L",11/01/23,"C","BOD-3-C-36","https://drive.google.com/file/d/1nf1_zl6QBT846iK8O0dKgI0VfvBRwZE7/view?usp=drive_link"
"Acetona","Karina Oyarce","BOD","winkler",3,1,"L",11/01/23,"C","BOD-3-C-37","https://drive.google.com/file/d/1nf1_zl6QBT846iK8O0dKgI0VfvBRwZE7/view?usp=drive_link"
"Acetona","Karina Oyarce","BOD","winkler",3,1,"L",11/01/23,"C","BOD-3-C-38","https://drive.google.com/file/d/1nf1_zl6QBT846iK8O0dKgI0VfvBRwZE7/view?usp=drive_link"
"Alcohol isopropílico (2-propanol)",,"BOD","Merck",3,2.5,"L",07/31/10,"C","BOD-3-C-39","https://drive.google.com/file/d/1bE6HTGhSbGVJilGCAYAXZ8NhtI_nrWYT/view?usp=drive_link"
"Alcohol isopropílico (2-propanol)",,"BOD","Merck",3,2.5,"L",07/31/10,"C","BOD-3-C-40","https://drive.google.com/file/d/1bE6HTGhSbGVJilGCAYAXZ8NhtI_nrWYT/view?usp=drive_link"
"1-propanol",,"BOD","Merck",3,1,"L",,"C","BOD-3-C-41","https://drive.google.com/file/d/1wjxkVfyCNvbBIwSeq1gExniHujLoQMMt/view?usp=drive_link"
"Hexano",,"BOD","Winkler",3,1,"L",05/12/19,"C","BOD-3-C-42","https://drive.google.com/file/d/1RkXN-Ba04JcHQnvEnyQS6A3EGNkm-LWD/view?usp=drive_link"
"Hexano",,"BOD","Winkler",3,1,"L",05/12/19,"C","BOD-3-C-43","https://drive.google.com/file/d/1RkXN-Ba04JcHQnvEnyQS6A3EGNkm-LWD/view?usp=drive_link"
"N-Hexano",,"BOD","Merck",3,2.5,"L",,"C","BOD-3-C-44","https://drive.google.com/file/d/1RhHTXydkReDf1Mx3eZXbDEOE7YM3d2OE/view?usp=drive_link"
"Alcohol isoamilico",,"BOD","Merck",3,1,"L",03/31/16,"C","BOD-3-C-45","https://drive.google.com/file/d/1hdSBDK4WSVsViffWP0ouqbA4CupiQVzw/view?usp=drive_link"
"Alcohol butilico secundario",,"BOD","Merck",3,200,"mL",,"C","BOD-3-C-46","https://drive.google.com/file/d/1oja-3z89MBDVe2D_1khNnnGRPvmecJSH/view?usp=drive_link"
"Xilol",,"BOD","Winkler",3,1,"L",09/26/21,"C","BOD-3-C-47","https://drive.google.com/file/d/187gvWmoIEEL7PoU5C10DfKWdQ6nglBe5/view?usp=drive_link"
"Xilol",,"BOD","Winkler",3,1,"L",09/26/21,"C","BOD-3-C-48","https://drive.google.com/file/d/187gvWmoIEEL7PoU5C10DfKWdQ6nglBe5/view?usp=drive_link"
"Xilol",,"BOD","Winkler",3,1,"L",09/26/21,"C","BOD-3-C-49","https://drive.google.com/file/d/187gvWmoIEEL7PoU5C10DfKWdQ6nglBe5/view?usp=drive_link"
"Xilol Tecnico","Karina Oyarce","BOD","Droguería Diprolab",3,1,"L",05/01/25,"C","BOD-3-C-50","https://drive.google.com/file/d/187gvWmoIEEL7PoU5C10DfKWdQ6nglBe5/view?usp=drive_link"
"Acetona",,"BOD","Merck",3,1,"L",06/30/05,"C","BOD-3-C-51","https://drive.google.com/file/d/1hv4qIzWfSrljxKjwBMGPS0K4Xca5Aqp8/view?usp=drive_link"
